source,target,count
India,Afghanistan,61
Afghanistan,Iran,8
Iran,Afghanistan,8
Afghanistan,Ireland,17
Ireland,Afghanistan,17
Afghanistan,Israel,83
Israel,Afghanistan,83
Afghanistan,Italy,67
Italy,Afghanistan,67
Afghanistan,Japan,38
Japan,Afghanistan,38
Afghanistan,Kazakhstan,118
Kazakhstan,Afghanistan,118
Afghanistan,Kyrgyzstan,25
Kyrgyzstan,Afghanistan,25
Afghanistan,Latvia,11
Latvia,Afghanistan,11
Afghanistan,Lithuania,15
Lithuania,Afghanistan,15
Afghanistan,Malaysia,22
Malaysia,Afghanistan,22
Afghanistan,Mexico,2
Mexico,Afghanistan,2
Afghanistan,Morocco,2
Morocco,Afghanistan,2
Afghanistan,Netherlands,82
Netherlands,Afghanistan,82
Afghanistan,New zealand,8
New zealand,Afghanistan,8
Afghanistan,Norway,28
Norway,Afghanistan,28
Afghanistan,Pakistan,47
Pakistan,Afghanistan,47
Afghanistan,Poland,28
Poland,Afghanistan,28
Afghanistan,Portugal,16
Portugal,Afghanistan,16
Afghanistan,Romania,15
Romania,Afghanistan,15
Afghanistan,Russian federation,236
Russian federation,Afghanistan,236
Afghanistan,Singapore,12
Singapore,Afghanistan,12
Afghanistan,Soas,1
Soas,Afghanistan,1
Afghanistan,South africa,7
South africa,Afghanistan,7
Afghanistan,South korea,6
South korea,Afghanistan,6
Afghanistan,Spain,12
Spain,Afghanistan,12
Afghanistan,Sweden,139
Sweden,Afghanistan,139
Afghanistan,Switzerland,45
Switzerland,Afghanistan,45
Afghanistan,Taiwan,3
Taiwan,Afghanistan,3
Afghanistan,Tajikistan,6
Tajikistan,Afghanistan,6
Afghanistan,The new school for social research,2
The new school for social research,Afghanistan,2
Afghanistan,Turkey,59
Turkey,Afghanistan,59
Afghanistan,Ukraine,43
Ukraine,Afghanistan,43
Afghanistan,United arab emirates,5
United arab emirates,Afghanistan,5
Afghanistan,United kingdom,596
United kingdom,Afghanistan,596
Afghanistan,United states,1314
United states,Afghanistan,1314
Afghanistan,University of pittsburgh,6
University of pittsburgh,Afghanistan,6
Afghanistan,Uzbekistan,21
Uzbekistan,Afghanistan,21
Afghanistan,empty,679
empty,Afghanistan,679
Aga-khan foundation in kyrgyzstan,Aga-khan foundation in kyrgyzstan,1
Aga-khan foundation in kyrgyzstan,Australia,10
Australia,Aga-khan foundation in kyrgyzstan,10
Aga-khan foundation in kyrgyzstan,Austria,10
Austria,Aga-khan foundation in kyrgyzstan,10
Aga-khan foundation in kyrgyzstan,Belgium,4
Belgium,Aga-khan foundation in kyrgyzstan,4
Aga-khan foundation in kyrgyzstan,Canada,28
Canada,Aga-khan foundation in kyrgyzstan,28
Aga-khan foundation in kyrgyzstan,College of ndu,2
College of ndu,Aga-khan foundation in kyrgyzstan,2
Aga-khan foundation in kyrgyzstan,Colombia,2
Colombia,Aga-khan foundation in kyrgyzstan,2
Aga-khan foundation in kyrgyzstan,Czech republic,2
Czech republic,Aga-khan foundation in kyrgyzstan,2
Aga-khan foundation in kyrgyzstan,Denmark,4
Denmark,Aga-khan foundation in kyrgyzstan,4
Aga-khan foundation in kyrgyzstan,Empirica research and consultancy institute,4
Empirica research and consultancy institute,Aga-khan foundation in kyrgyzstan,4
Aga-khan foundation in kyrgyzstan,Estonia,10
Estonia,Aga-khan foundation in kyrgyzstan,10
Aga-khan foundation in kyrgyzstan,Finland,34
Finland,Aga-khan foundation in kyrgyzstan,34
Aga-khan foundation in kyrgyzstan,France,6
France,Aga-khan foundation in kyrgyzstan,6
Aga-khan foundation in kyrgyzstan,Georgia,6
Georgia,Aga-khan foundation in kyrgyzstan,6
Aga-khan foundation in kyrgyzstan,Germany,32
Germany,Aga-khan foundation in kyrgyzstan,32
Aga-khan foundation in kyrgyzstan,Greece,4
Greece,Aga-khan foundation in kyrgyzstan,4
Aga-khan foundation in kyrgyzstan,Hebrew university of jerusalem,2
Hebrew university of jerusalem,Aga-khan foundation in kyrgyzstan,2
Aga-khan foundation in kyrgyzstan,Hong kong,4
Hong kong,Aga-khan foundation in kyrgyzstan,4
Aga-khan foundation in kyrgyzstan,Hungary,6
Hungary,Aga-khan foundation in kyrgyzstan,6
Aga-khan foundation in kyrgyzstan,India,6
India,Aga-khan foundation in kyrgyzstan,6
Aga-khan foundation in kyrgyzstan,Ireland,2
Ireland,Aga-khan foundation in kyrgyzstan,2
Aga-khan foundation in kyrgyzstan,Israel,20
Israel,Aga-khan foundation in kyrgyzstan,20
Aga-khan foundation in kyrgyzstan,Japan,12
Japan,Aga-khan foundation in kyrgyzstan,12
Aga-khan foundation in kyrgyzstan,Kazakhstan,104
Kazakhstan,Aga-khan foundation in kyrgyzstan,104
Aga-khan foundation in kyrgyzstan,Kuwait,2
Kuwait,Aga-khan foundation in kyrgyzstan,2
Aga-khan foundation in kyrgyzstan,Kyrgyzstan,8
Kyrgyzstan,Aga-khan foundation in kyrgyzstan,8
Aga-khan foundation in kyrgyzstan,Latvia,2
Latvia,Aga-khan foundation in kyrgyzstan,2
Aga-khan foundation in kyrgyzstan,Lithuania,6
Lithuania,Aga-khan foundation in kyrgyzstan,6
Aga-khan foundation in kyrgyzstan,Malaysia,2
Malaysia,Aga-khan foundation in kyrgyzstan,2
Aga-khan foundation in kyrgyzstan,Netherlands,6
Netherlands,Aga-khan foundation in kyrgyzstan,6
Aga-khan foundation in kyrgyzstan,New zealand,2
New zealand,Aga-khan foundation in kyrgyzstan,2
Aga-khan foundation in kyrgyzstan,Norway,2
Norway,Aga-khan foundation in kyrgyzstan,2
Aga-khan foundation in kyrgyzstan,Pakistan,4
Pakistan,Aga-khan foundation in kyrgyzstan,4
Aga-khan foundation in kyrgyzstan,Poland,2
Poland,Aga-khan foundation in kyrgyzstan,2
Aga-khan foundation in kyrgyzstan,Russian federation,32
Russian federation,Aga-khan foundation in kyrgyzstan,32
Aga-khan foundation in kyrgyzstan,Slovenia,2
Slovenia,Aga-khan foundation in kyrgyzstan,2
Aga-khan foundation in kyrgyzstan,Spain,6
Spain,Aga-khan foundation in kyrgyzstan,6
Aga-khan foundation in kyrgyzstan,Sweden,8
Sweden,Aga-khan foundation in kyrgyzstan,8
Aga-khan foundation in kyrgyzstan,Switzerland,10
Switzerland,Aga-khan foundation in kyrgyzstan,10
Aga-khan foundation in kyrgyzstan,Taiwan,2
Taiwan,Aga-khan foundation in kyrgyzstan,2
Aga-khan foundation in kyrgyzstan,Tajikistan,4
Tajikistan,Aga-khan foundation in kyrgyzstan,4
Aga-khan foundation in kyrgyzstan,Tanzania,2
Tanzania,Aga-khan foundation in kyrgyzstan,2
Aga-khan foundation in kyrgyzstan,Turkey,4
Turkey,Aga-khan foundation in kyrgyzstan,4
Aga-khan foundation in kyrgyzstan,United kingdom,68
United kingdom,Aga-khan foundation in kyrgyzstan,68
Aga-khan foundation in kyrgyzstan,United states,92
United states,Aga-khan foundation in kyrgyzstan,92
Aga-khan foundation in kyrgyzstan,University of pittsburgh,2
University of pittsburgh,Aga-khan foundation in kyrgyzstan,2
Aga-khan foundation in kyrgyzstan,empty,102
empty,Aga-khan foundation in kyrgyzstan,102
Agentia pentru stiinta si memorie militara,Colombia,2
Colombia,Agentia pentru stiinta si memorie militara,2
Agentia pentru stiinta si memorie militara,Denmark,1
Denmark,Agentia pentru stiinta si memorie militara,1
Agentia pentru stiinta si memorie militara,Finland,1
Finland,Agentia pentru stiinta si memorie militara,1
Agentia pentru stiinta si memorie militara,Germany,1
Germany,Agentia pentru stiinta si memorie militara,1
Agentia pentru stiinta si memorie militara,Høgskolen i lillehammer,1
Høgskolen i lillehammer,Agentia pentru stiinta si memorie militara,1
Agentia pentru stiinta si memorie militara,Russian federation,3
Russian federation,Agentia pentru stiinta si memorie militara,3
Agentia pentru stiinta si memorie militara,Sweden,1
Sweden,Agentia pentru stiinta si memorie militara,1
Agentia pentru stiinta si memorie militara,empty,4
empty,Agentia pentru stiinta si memorie militara,4
Agric. and fish,Canada,1
Canada,Agric. and fish,1
Al-farabi kazakh national university,Al-farabi kazakh national university,1
Al-farabi kazakh national university,Armenia,6
Armenia,Al-farabi kazakh national university,6
Al-farabi kazakh national university,Australia,40
Australia,Al-farabi kazakh national university,40
Al-farabi kazakh national university,Austria,26
Austria,Al-farabi kazakh national university,26
Al-farabi kazakh national university,Azerbaijan,12
Azerbaijan,Al-farabi kazakh national university,12
Al-farabi kazakh national university,Belarus,2
Belarus,Al-farabi kazakh national university,2
Al-farabi kazakh national university,Belgium,26
Belgium,Al-farabi kazakh national university,26
Al-farabi kazakh national university,Brazil,2
Brazil,Al-farabi kazakh national university,2
Al-farabi kazakh national university,Canada,50
Canada,Al-farabi kazakh national university,50
Al-farabi kazakh national university,China,26
China,Al-farabi kazakh national university,26
Al-farabi kazakh national university,Cyprus,2
Cyprus,Al-farabi kazakh national university,2
Al-farabi kazakh national university,Czech republic,36
Czech republic,Al-farabi kazakh national university,36
Al-farabi kazakh national university,Denmark,8
Denmark,Al-farabi kazakh national university,8
Al-farabi kazakh national university,Estonia,18
Estonia,Al-farabi kazakh national university,18
Al-farabi kazakh national university,Eurasia department,2
Eurasia department,Al-farabi kazakh national university,2
Al-farabi kazakh national university,Finland,50
Finland,Al-farabi kazakh national university,50
Al-farabi kazakh national university,France,36
France,Al-farabi kazakh national university,36
Al-farabi kazakh national university,Georgia,18
Georgia,Al-farabi kazakh national university,18
Al-farabi kazakh national university,Germany,128
Germany,Al-farabi kazakh national university,128
Al-farabi kazakh national university,Hong kong,8
Hong kong,Al-farabi kazakh national university,8
Al-farabi kazakh national university,Hungary,6
Hungary,Al-farabi kazakh national university,6
Al-farabi kazakh national university,Independent researcher,2
Independent researcher,Al-farabi kazakh national university,2
Al-farabi kazakh national university,India,26
India,Al-farabi kazakh national university,26
Al-farabi kazakh national university,Iran,16
Iran,Al-farabi kazakh national university,16
Al-farabi kazakh national university,Ireland,14
Ireland,Al-farabi kazakh national university,14
Al-farabi kazakh national university,Israel,36
Israel,Al-farabi kazakh national university,36
Al-farabi kazakh national university,Italy,42
Italy,Al-farabi kazakh national university,42
Al-farabi kazakh national university,Japan,18
Japan,Al-farabi kazakh national university,18
Al-farabi kazakh national university,Kazakhstan,356
Kazakhstan,Al-farabi kazakh national university,356
Al-farabi kazakh national university,Kyrgyzstan,18
Kyrgyzstan,Al-farabi kazakh national university,18
Al-farabi kazakh national university,Latvia,6
Latvia,Al-farabi kazakh national university,6
Al-farabi kazakh national university,Lithuania,4
Lithuania,Al-farabi kazakh national university,4
Al-farabi kazakh national university,Malaysia,4
Malaysia,Al-farabi kazakh national university,4
Al-farabi kazakh national university,Netherlands,68
Netherlands,Al-farabi kazakh national university,68
Al-farabi kazakh national university,Norway,38
Norway,Al-farabi kazakh national university,38
Al-farabi kazakh national university,Pakistan,2
Pakistan,Al-farabi kazakh national university,2
Al-farabi kazakh national university,Poland,26
Poland,Al-farabi kazakh national university,26
Al-farabi kazakh national university,Portugal,8
Portugal,Al-farabi kazakh national university,8
Al-farabi kazakh national university,Russian federation,312
Russian federation,Al-farabi kazakh national university,312
Al-farabi kazakh national university,School of humanities and social sciences,2
School of humanities and social sciences,Al-farabi kazakh national university,2
Al-farabi kazakh national university,Singapore,2
Singapore,Al-farabi kazakh national university,2
Al-farabi kazakh national university,Slovakia,6
Slovakia,Al-farabi kazakh national university,6
Al-farabi kazakh national university,South korea,8
South korea,Al-farabi kazakh national university,8
Al-farabi kazakh national university,Spain,16
Spain,Al-farabi kazakh national university,16
Al-farabi kazakh national university,Sweden,70
Sweden,Al-farabi kazakh national university,70
Al-farabi kazakh national university,Switzerland,32
Switzerland,Al-farabi kazakh national university,32
Al-farabi kazakh national university,Taiwan,2
Taiwan,Al-farabi kazakh national university,2
Al-farabi kazakh national university,Tajikistan,2
Tajikistan,Al-farabi kazakh national university,2
Al-farabi kazakh national university,The new school for social research,4
The new school for social research,Al-farabi kazakh national university,4
Al-farabi kazakh national university,Turkey,32
Turkey,Al-farabi kazakh national university,32
Al-farabi kazakh national university,Ukraine,34
Ukraine,Al-farabi kazakh national university,34
Al-farabi kazakh national university,United arab emirates,6
United arab emirates,Al-farabi kazakh national university,6
Al-farabi kazakh national university,United kingdom,316
United kingdom,Al-farabi kazakh national university,316
Al-farabi kazakh national university,United states,500
United states,Al-farabi kazakh national university,500
Al-farabi kazakh national university,Uzbekistan,10
Uzbekistan,Al-farabi kazakh national university,10
Al-farabi kazakh national university,empty,336
empty,Al-farabi kazakh national university,336
Albania,Albania,3
Albania,Argentina,7
Argentina,Albania,7
Albania,Armenia,22
Armenia,Albania,22
Albania,Australia,128
Australia,Albania,128
Albania,Austria,57
Austria,Albania,57
Albania,Azerbaijan,30
Azerbaijan,Albania,30
Albania,Bangladesh,3
Bangladesh,Albania,3
Albania,Belarus,8
Belarus,Albania,8
Albania,Belgium,36
Belgium,Albania,36
Albania,Brazil,7
Brazil,Albania,7
Albania,Bulgaria,6
Bulgaria,Albania,6
Albania,Cameroon,1
Cameroon,Albania,1
Albania,Canada,181
Canada,Albania,181
Albania,Canada (fax: +1 613 788 4064),4
Canada (fax: +1 613 788 4064),Albania,4
Albania,Chatham house,1
Chatham house,Albania,1
Albania,China,89
China,Albania,89
Albania,College of ndu,1
College of ndu,Albania,1
Albania,Colombia,4
Colombia,Albania,4
Albania,Croatia,2
Croatia,Albania,2
Albania,Cuba,3
Cuba,Albania,3
Albania,Czech republic,86
Czech republic,Albania,86
Albania,Denmark,26
Denmark,Albania,26
Albania,Egypt,3
Egypt,Albania,3
Albania,Estonia,172
Estonia,Albania,172
Albania,Finland,93
Finland,Albania,93
Albania,France,66
France,Albania,66
Albania,Geographisches institut der universität innsbruck,2
Geographisches institut der universität innsbruck,Albania,2
Albania,Georgia,51
Georgia,Albania,51
Albania,Germany,411
Germany,Albania,411
Albania,Greece,22
Greece,Albania,22
Albania,Hebrew university of jerusalem,2
Hebrew university of jerusalem,Albania,2
Albania,Hong kong,20
Hong kong,Albania,20
Albania,Hungary,60
Hungary,Albania,60
Albania,Iceland,1
Iceland,Albania,1
Albania,India,33
India,Albania,33
Albania,Indonesia,2
Indonesia,Albania,2
Albania,Institute of political sciences at ilia state university,2
Institute of political sciences at ilia state university,Albania,2
Albania,International centre for the history and sociology of world war ii and its consequences,2
International centre for the history and sociology of world war ii and its consequences,Albania,2
Albania,Iran,12
Iran,Albania,12
Albania,Iraq,2
Iraq,Albania,2
Albania,Ireland,45
Ireland,Albania,45
Albania,Israel,164
Israel,Albania,164
Albania,Italy,104
Italy,Albania,104
Albania,Japan,45
Japan,Albania,45
Albania,Jordan,1
Jordan,Albania,1
Albania,Kazakhstan,103
Kazakhstan,Albania,103
Albania,Komazawa university,1
Komazawa university,Albania,1
Albania,Kuwait,3
Kuwait,Albania,3
Albania,Kyrgyzstan,15
Kyrgyzstan,Albania,15
Albania,Latvia,37
Latvia,Albania,37
Albania,Lebanon,2
Lebanon,Albania,2
Albania,Lithuania,95
Lithuania,Albania,95
Albania,Luxembourg,3
Luxembourg,Albania,3
Albania,Macao,1
Macao,Albania,1
Albania,Madagascar,3
Madagascar,Albania,3
Albania,Malaysia,8
Malaysia,Albania,8
Albania,Malta,2
Malta,Albania,2
Albania,Mexico,4
Mexico,Albania,4
Albania,Moldova,7
Moldova,Albania,7
Albania,Mongolia,8
Mongolia,Albania,8
Albania,Murmansk advanced teachers' college,2
Murmansk advanced teachers' college,Albania,2
Albania,Netherlands,99
Netherlands,Albania,99
Albania,New zealand,14
New zealand,Albania,14
Albania,Nigeria,10
Nigeria,Albania,10
Albania,Norway,58
Norway,Albania,58
Albania,Pakistan,6
Pakistan,Albania,6
Albania,Philippines,2
Philippines,Albania,2
Albania,Poland,100
Poland,Albania,100
Albania,Portugal,12
Portugal,Albania,12
Albania,Romania,25
Romania,Albania,25
Albania,Russian federation,656
Russian federation,Albania,656
Albania,Saudi arabia,4
Saudi arabia,Albania,4
Albania,Senegal,1
Senegal,Albania,1
Albania,Serbia,10
Serbia,Albania,10
Albania,Singapore,9
Singapore,Albania,9
Albania,Slovakia,12
Slovakia,Albania,12
Albania,Slovenia,19
Slovenia,Albania,19
Albania,South africa,23
South africa,Albania,23
Albania,South korea,20
South korea,Albania,20
Albania,Spain,25
Spain,Albania,25
Albania,Sweden,139
Sweden,Albania,139
Albania,Switzerland,60
Switzerland,Albania,60
Albania,Tajikistan,2
Tajikistan,Albania,2
Albania,Tanzania,1
Tanzania,Albania,1
Albania,Thailand,1
Thailand,Albania,1
Albania,Tunisia,1
Tunisia,Albania,1
Albania,Turkey,41
Turkey,Albania,41
Albania,Ukraine,93
Ukraine,Albania,93
Albania,Umr 7220,1
Umr 7220,Albania,1
Albania,United arab emirates,4
United arab emirates,Albania,4
Albania,United kingdom,888
United kingdom,Albania,888
Albania,United states,1788
United states,Albania,1788
Albania,University of calabria,1
University of calabria,Albania,1
Albania,University of manchester,1
University of manchester,Albania,1
Albania,University of pisa,1
University of pisa,Albania,1
Albania,University of turin,2
University of turin,Albania,2
Albania,Uzbekistan,14
Uzbekistan,Albania,14
Albania,Viet nam,1
Viet nam,Albania,1
Albania,York university,1
York university,Albania,1
Albania,empty,971
empty,Albania,971
Albert-ludwigs-universität freiburg,Canada,1
Canada,Albert-ludwigs-universität freiburg,1
Albert-ludwigs-universität freiburg,Poland,1
Poland,Albert-ludwigs-universität freiburg,1
Albert-ludwigs-universität freiburg,Russian federation,23
Russian federation,Albert-ludwigs-universität freiburg,23
Albert-ludwigs-universität freiburg,Sweden,1
Sweden,Albert-ludwigs-universität freiburg,1
Albert-ludwigs-universität freiburg,Switzerland,1
Switzerland,Albert-ludwigs-universität freiburg,1
Albert-ludwigs-universität freiburg,United states,7
United states,Albert-ludwigs-universität freiburg,7
Albert-ludwigs-universität freiburg,empty,12
empty,Albert-ludwigs-universität freiburg,12
Albert-ludwigs-universität freiburg,États-unis d'amérique,1
États-unis d'amérique,Albert-ludwigs-universität freiburg,1
Algeria,Al-farabi kazakh national university,2
Al-farabi kazakh national university,Algeria,2
Algeria,Albania,2
Albania,Algeria,2
Algeria,Algeria,1
Algeria,Armenia,16
Armenia,Algeria,16
Algeria,Australia,131
Australia,Algeria,131
Algeria,Austria,39
Austria,Algeria,39
Algeria,Azerbaijan,20
Azerbaijan,Algeria,20
Algeria,Bangladesh,1
Bangladesh,Algeria,1
Algeria,Belarus,7
Belarus,Algeria,7
Algeria,Belgium,26
Belgium,Algeria,26
Algeria,Brazil,12
Brazil,Algeria,12
Algeria,Bulgaria,5
Bulgaria,Algeria,5
Algeria,Canada,106
Canada,Algeria,106
Algeria,Canada (fax: +1 613 788 4064),1
Canada (fax: +1 613 788 4064),Algeria,1
Algeria,Centre for european migration and ethnic studies (cemes),1
Centre for european migration and ethnic studies (cemes),Algeria,1
Algeria,Chile,8
Chile,Algeria,8
Algeria,China,88
China,Algeria,88
Algeria,Chinese academy of social sciences,4
Chinese academy of social sciences,Algeria,4
Algeria,College of art and design,1
College of art and design,Algeria,1
Algeria,College of ndu,2
College of ndu,Algeria,2
Algeria,Colombia,4
Colombia,Algeria,4
Algeria,Croatia,4
Croatia,Algeria,4
Algeria,Czech republic,53
Czech republic,Algeria,53
Algeria,Denmark,20
Denmark,Algeria,20
Algeria,Estonia,53
Estonia,Algeria,53
Algeria,Eurasia department,1
Eurasia department,Algeria,1
Algeria,Finland,61
Finland,Algeria,61
Algeria,France,89
France,Algeria,89
Algeria,Georgia,25
Georgia,Algeria,25
Algeria,Germany,239
Germany,Algeria,239
Algeria,Greece,22
Greece,Algeria,22
Algeria,Hong kong,9
Hong kong,Algeria,9
Algeria,Hungary,33
Hungary,Algeria,33
Algeria,Independent researcher,3
Independent researcher,Algeria,3
Algeria,India,65
India,Algeria,65
Algeria,Institut für sozialforschune im arbeitsbereich theorie und geschichte der gewalt,2
Institut für sozialforschune im arbeitsbereich theorie und geschichte der gewalt,Algeria,2
Algeria,Iran,29
Iran,Algeria,29
Algeria,Iraq,1
Iraq,Algeria,1
Algeria,Ireland,19
Ireland,Algeria,19
Algeria,Israel,93
Israel,Algeria,93
Algeria,Italy,96
Italy,Algeria,96
Algeria,Jadara university,2
Jadara university,Algeria,2
Algeria,Japan,69
