id, label, degree
modernism,modernism,52
industrialization,industrialization,51
values,values,51
repression,repression,50
united nations,united nations,50
politics of memory,politics of memory,50
privatization,privatization,50
imperialism,imperialism,50
feminism,feminism,50
genocide,genocide,50
university,university,50
masculinity,masculinity,49
bulgaria,bulgaria,48
everyday life,everyday life,48
repressions,repressions,48
tourism,tourism,47
inequality,inequality,47
orthodoxy,orthodoxy,47
arctic,arctic,47
political economy,political economy,47
deportation,deportation,47
gulag,gulag,47
decolonization,decolonization,47
soviet history,soviet history,46
society,society,46
abkhazia,abkhazia,46
energy,energy,46
eastern partnership,eastern partnership,46
south caucasus,south caucasus,46
sovietization,sovietization,45
détente,détente,45
infrastructure,infrastructure,45
archaeology,archaeology,45
red army,red army,45
discourse analysis,discourse analysis,44
acculturation,acculturation,44
nostalgia,nostalgia,44
european integration,european integration,44
students,students,44
turkmenistan,turkmenistan,44
city,city,44
jews,jews,44
soviet power,soviet power,43
borders,borders,43
hegemony,hegemony,43
autonomy,autonomy,43
cultural heritage,cultural heritage,43
fascism,fascism,43
kalmykia,kalmykia,43
space,space,43
repatriation,repatriation,42
vladimir putin,vladimir putin,42
public diplomacy,public diplomacy,42
ethics,ethics,42
central and eastern europe,central and eastern europe,42
orientalism,orientalism,42
russian language,russian language,42
transnationalism,transnationalism,42
population,population,41
marriage,marriage,41
oil,oil,41
folklore,folklore,41
climate change,climate change,41
populism,populism,41
russian emigration,russian emigration,41
italy,italy,40
bolsheviks,bolsheviks,40
poverty,poverty,40
regionalism,regionalism,40
trauma,trauma,40
eurasianism,eurasianism,40
soviet literature,soviet literature,40
october revolution,october revolution,40
reforms,reforms,40
soviet historiography,soviet historiography,40
technology,technology,40
trust,trust,39
tuvans,tuvans,39
children,children,39
reception,reception,39
social capital,social capital,38
post-soviet states,post-soviet states,38
post-soviet period,post-soviet period,38
sociology,sociology,38
crisis,crisis,38
assimilation,assimilation,38
communist party,communist party,38
constitution,constitution,38
economic development,economic development,38
archives,archives,38
cultural memory,cultural memory,38
peasantry,peasantry,38
cinema,cinema,37
economic growth,economic growth,37
postcolonialism,postcolonialism,37
housing,housing,37
independence,independence,37
mobility,mobility,37
antisemitism,antisemitism,37
great britain,great britain,37
resistance,resistance,37
kgb,kgb,37
soviet legacy,soviet legacy,37
third world,third world,37
heritage,heritage,37
region,region,36
journalism,journalism,36
realism,realism,36
pakistan,pakistan,36
transnistria,transnistria,36
multilingualism,multilingualism,36
subjectivity,subjectivity,36
urban planning,urban planning,36
occupation,occupation,36
tradition,tradition,36
soviet society,soviet society,36
soviet philosophy,soviet philosophy,35
memory politics,memory politics,35
latin america,latin america,35
spanish civil war,spanish civil war,35
buddhism,buddhism,35
bolshevism,bolshevism,35
the great patriotic war,the great patriotic war,35
history of tuva,history of tuva,35
world war i,world war i,35
russians,russians,35
political parties,political parties,35
cultural diplomacy,cultural diplomacy,34
nagorno-karabakh,nagorno-karabakh,34
egypt,egypt,34
khrushchev,khrushchev,34
fertility,fertility,33
film,film,33
self-determination,self-determination,33
crime,crime,33
consumption,consumption,33
patriotism,patriotism,33
marxism-leninism,marxism-leninism,33
social change,social change,33
minorities,minorities,33
far east,far east,33
soviet ideology,soviet ideology,33
utopia,utopia,33
state socialism,state socialism,32
mortality,mortality,32
methodology,methodology,32
policy,policy,32
exile,exile,32
entrepreneurship,entrepreneurship,32
elites,elites,32
school,school,32
gdr,gdr,32
strategy,strategy,32
atheism,atheism,32
border,border,31
dialectics,dialectics,31
social policy,social policy,31
international cooperation,international cooperation,31
communication,communication,31
britain,britain,31
sustainability,sustainability,31
the cold war,the cold war,31
syria,syria,31
avant-garde,avant-garde,31
dagestan,dagestan,31
demography,demography,31
employment,employment,31
russian literature,russian literature,31
planning,planning,31
government,government,30
chernobyl,chernobyl,30
deterrence,deterrence,30
art,art,30
spain,spain,30
history of education,history of education,30
intellectuals,intellectuals,30
representation,representation,30
myth,myth,30
monuments,monuments,30
legitimacy,legitimacy,30
collaboration,collaboration,30
commemoration,commemoration,30
industry,industry,30
landscape,landscape,30
ethnic conflict,ethnic conflict,30
marx,marx,29
de facto states,de facto states,29
mass media,mass media,29
innovation,innovation,29
political culture,political culture,29
chechnya,chechnya,29
internet,internet,29
bessarabia,bessarabia,29
traditions,traditions,29
separatism,separatism,29
sport,sport,29
agency,agency,29
sexuality,sexuality,29
social networks,social networks,29
gorbachev,gorbachev,28
soviet bloc,soviet bloc,28
health,health,28
cultural policy,cultural policy,28
eurasian integration,eurasian integration,28
public administration,public administration,28
rule of law,rule of law,28
nation building,nation building,28
poetry,poetry,28
norway,norway,28
church,church,28
philosophy,philosophy,28
russian history,russian history,28
social memory,social memory,28
christianity,christianity,28
morality,morality,28
biography,biography,28
bureaucracy,bureaucracy,28
racism,racism,28
turkestan,turkestan,27
solidarity,solidarity,27
canada,canada,27
image,image,27
south ossetia,south ossetia,27
time,time,27
ethnic minorities,ethnic minorities,27
postmodernism,postmodernism,27
federalism,federalism,27
indigenous peoples,indigenous peoples,27
national security,national security,27
social movements,social movements,27
informal economy,informal economy,27
academy of sciences,academy of sciences,27
energy security,energy security,27
covid-19,covid-19,27
eaeu,eaeu,27
freedom,freedom,26
press,press,26
protest,protest,26
shamanism,shamanism,26
sanctions,sanctions,26
social media,social media,26
justice,justice,26
informality,informality,26
czech republic,czech republic,26
internationalism,internationalism,26
tatarstan,tatarstan,26
geography,geography,26
history of science,history of science,26
identity politics,identity politics,26
memoirs,memoirs,26
regional integration,regional integration,26
discrimination,discrimination,26
mobilization,mobilization,26
soviet culture,soviet culture,26
legislation,legislation,26
homeland,homeland,26
cia,cia,26
content analysis,content analysis,25
ngos,ngos,25
orthodox church,orthodox church,25
military,military,25
mao zedong,mao zedong,25
photography,photography,25
united kingdom,united kingdom,25
labor migration,labor migration,25
bilingualism,bilingualism,25
religiosity,religiosity,25
korea,korea,25
central europe,central europe,25
performance,performance,25
south africa,south africa,25
first world war,first world war,25
museum,museum,25
sweden,sweden,25
soviet architecture,soviet architecture,25
periphery,periphery,25
migrants,migrants,24
conservatism,conservatism,24
cultural revolution,cultural revolution,24
1920s,1920s,24
emotions,emotions,24
public sphere,public sphere,24
television,television,24
irrigation,irrigation,24
soviet propaganda,soviet propaganda,24
memory studies,memory studies,24
comparative analysis,comparative analysis,24
migration policy,migration policy,24
anti-semitism,anti-semitism,24
cultural identity,cultural identity,24
music,music,24
post-soviet politics,post-soviet politics,24
kalmyks,kalmyks,24
community,community,24
wwii,wwii,24
leadership,leadership,24
inclusive education,inclusive education,24
natural resources,natural resources,23
gender equality,gender equality,23
urban space,urban space,23
generation,generation,23
democratisation,democratisation,23
sino-soviet split,sino-soviet split,23
xinjiang,xinjiang,23
post-soviet studies,post-soviet studies,23
dictatorship,dictatorship,23
foreign trade,foreign trade,23
race,race,23
archive,archive,23
resettlement,resettlement,23
world order,world order,23
european security,european security,23
abortion,abortion,23
republic of moldova,republic of moldova,23
well-being,well-being,23
physical culture,physical culture,23
intelligentsia,intelligentsia,23
economics,economics,23
soviet foreign policy,soviet foreign policy,23
competition,competition,23
anthropology,anthropology,23
korean war,korean war,23
famine,famine,23
greece,greece,23
soviet marxism,soviet marxism,23
thaw,thaw,23
transition economies,transition economies,22
bolshevik revolution,bolshevik revolution,22
regional development,regional development,22
secession,secession,22
state-building,state-building,22
arms control,arms control,22
new economic policy,new economic policy,22
european neighbourhood policy,european neighbourhood policy,22
nazi germany,nazi germany,22
buryats,buryats,22
post-soviet transition,post-soviet transition,22
public space,public space,22
economic history,economic history,22
interpretation,interpretation,22
institutionalization,institutionalization,22
leningrad,leningrad,22
childhood,childhood,22
autobiography,autobiography,22
path dependence,path dependence,22
ecology,ecology,22
sino-soviet relations,sino-soviet relations,22
central planning,central planning,21
sufism,sufism,21
resilience,resilience,21
institutional change,institutional change,21
globalisation,globalisation,21
maoism,maoism,21
management,management,21
soviet ethnography,soviet ethnography,21
state capitalism,state capitalism,21
detente,detente,21
economic integration,economic integration,21
donbas,donbas,21
postcolonial studies,postcolonial studies,21
class,class,21
eastern bloc,eastern bloc,21
soviet state,soviet state,21
cossacks,cossacks,21
russian civil war,russian civil war,21
buryatia,buryatia,21
national policy,national policy,21
nkvd,nkvd,21
postcommunism,postcommunism,21
nation-state,nation-state,21
convergence,convergence,21
holodomor,holodomor,21
universities,universities,21
chile,chile,21
post-communist,post-communist,21
communist international,communist international,21
personality,personality,21
decentralization,decentralization,21
nep,nep,21
decolonisation,decolonisation,21
russian philosophy,russian philosophy,21
western siberia,western siberia,21
authenticity,authenticity,21
post-soviet transformation,post-soviet transformation,21
us foreign policy,us foreign policy,21
dialectical materialism,dialectical materialism,21
forced migration,forced migration,20
cultural trauma,cultural trauma,20
joseph stalin,joseph stalin,20
iraq,iraq,20
insurgency,insurgency,20
political science,political science,20
soviet ukraine,soviet ukraine,20
kazakhs,kazakhs,20
nomads,nomads,20
opposition,opposition,20
religious policy,religious policy,20
ukrainian crisis,ukrainian crisis,20
risk,risk,20
human capital,human capital,20
textbooks,textbooks,20
public policy,public policy,20
russification,russification,20
labor,labor,20
remote sensing,remote sensing,20
soviets,soviets,20
cmea,cmea,20
asia,asia,20
international security,international security,20
curriculum,curriculum,20
nationality,nationality,20
chukotka,chukotka,20
taliban,taliban,20
social inequality,social inequality,19
poetics,poetics,19
welfare state,welfare state,19
east germany,east germany,19
market economy,market economy,19
civilization,civilization,19
caspian sea,caspian sea,19
modernisation,modernisation,19
south korea,south korea,19
science fiction,science fiction,19
cuban revolution,cuban revolution,19
suburbanization,suburbanization,19
balkans,balkans,19
balance of power,balance of power,19
german democratic republic,german democratic republic,19
kalmyk assr,kalmyk assr,19
prisoners of war,prisoners of war,19
museums,museums,19
fieldwork,fieldwork,19
health care,health care,19
cultural transfer,cultural transfer,19
transcarpathia,transcarpathia,19
property rights,property rights,19
perception,perception,19
housing policy,housing policy,19
life expectancy,life expectancy,19
nazism,nazism,19
colonization,colonization,19
anti-communism,anti-communism,19
regulation,regulation,19
child protection,child protection,19
the united states,the united states,19
judaism,judaism,19
semiotics,semiotics,19
political geography,political geography,19
governmentality,governmentality,19
terror,terror,19
soviet law,soviet law,19
visual anthropology,visual anthropology,19
materialism,materialism,19
aesthetics,aesthetics,19
hybrid war,hybrid war,19
soviet-american relations,soviet-american relations,18
labor market,labor market,18
brazil,brazil,18
nuclear deterrence,nuclear deterrence,18
commonwealth of independent states,commonwealth of independent states,18
muslims,muslims,18
hierarchy,hierarchy,18
public health,public health,18
samizdat,samizdat,18
euromaidan,euromaidan,18
popular culture,popular culture,18
soviet jews,soviet jews,18
hybrid regimes,hybrid regimes,18
documentary,documentary,18
foreign direct investment,foreign direct investment,18
north atlantic treaty organization,north atlantic treaty organization,18
parliament,parliament,18
political discourse,political discourse,18
cosmopolitanism,cosmopolitanism,18
tatars,tatars,18
pastoralism,pastoralism,18
mediation,mediation,18
cultural landscape,cultural landscape,18
black sea,black sea,18
multipolarity,multipolarity,18
multiculturalism,multiculturalism,18
international trade,international trade,18
regionalization,regionalization,18
mikhail gorbachev,mikhail gorbachev,18
nenets,nenets,18
critical geopolitics,critical geopolitics,18
nomenklatura,nomenklatura,18
palestine,palestine,18
historical materialism,historical materialism,18
food security,food security,18
russian far east,russian far east,18
libraries,libraries,18
intellectual history,intellectual history,18
rehabilitation,rehabilitation,18
research,research,18
disability,disability,18
war crimes,war crimes,18
information warfare,information warfare,18
st. petersburg,st. petersburg,18
autocracy,autocracy,17
conservation,conservation,17
secularization,secularization,17
intervention,intervention,17
publishing,publishing,17
census,census,17
cities,cities,17
unemployment,unemployment,17
1930s,1930s,17
transitional justice,transitional justice,17
glasnost,glasnost,17
yiddish,yiddish,17
post-soviet central asia,post-soviet central asia,17
conversion,conversion,17
dissent,dissent,17
interwar period,interwar period,17
history of anthropology,history of anthropology,17
land use,land use,17
post-soviet city,post-soviet city,17
soviet heritage,soviet heritage,17
knowledge,knowledge,17
interethnic relations,interethnic relations,17
clergy,clergy,17
education policy,education policy,17
national minorities,national minorities,17
travelogue,travelogue,17
socialist city,socialist city,17
olympic games,olympic games,17
old believers,old believers,17
enlightenment,enlightenment,17
european court of human rights,european court of human rights,17
environmentalism,environmentalism,17
territory,territory,17
body,body,17
disinformation,disinformation,17
global south,global south,17
silk road,silk road,17
anarchism,anarchism,17
organized crime,organized crime,17
comecon,comecon,17
internationalization,internationalization,17
communist regime,communist regime,17
migrations,migrations,17
soviet science,soviet science,17
zionism,zionism,17
regional identity,regional identity,17
ethnic groups,ethnic groups,17
work,work,17
un,un,17
adolescents,adolescents,17
great power,great power,17
future,future,17
multilateralism,multilateralism,17
depopulation,depopulation,17
sports,sports,17
foreign aid,foreign aid,16
labour,labour,16
economic crisis,economic crisis,16
conflict resolution,conflict resolution,16
sco,sco,16
deportations,deportations,16
boundaries,boundaries,16
economic reform,economic reform,16
generations,generations,16
reconstruction,reconstruction,16
money,money,16
aid,aid,16
south asia,south asia,16
us,us,16
life satisfaction,life satisfaction,16
alienation,alienation,16
motherhood,motherhood,16
history of sociology,history of sociology,16
labour migration,labour migration,16
political violence,political violence,16
aral sea,aral sea,16
literary criticism,literary criticism,16
temporality,temporality,16
satire,satire,16
communist party of the soviet union,communist party of the soviet union,16
ethnic relations,ethnic relations,16
vatican,vatican,16
aggression,aggression,16
accountability,accountability,16
social history,social history,16
linguistic landscape,linguistic landscape,16
reindeer herding,reindeer herding,16
formalism,formalism,16
social mobility,social mobility,16
workers,workers,16
genre,genre,16
police,police,16
ethnos,ethnos,16
20th century,20th century,16
materiality,materiality,16
networks,networks,16
economic reforms,economic reforms,16
pipelines,pipelines,16
late socialism,late socialism,16
atomic bomb,atomic bomb,16
mexico,mexico,16
child welfare,child welfare,16
minority rights,minority rights,16
transnational,transnational,16
taiwan,taiwan,16
activism,activism,16
containment,containment,16
healthcare,healthcare,16
authoritarian regimes,authoritarian regimes,16
femininity,femininity,16
epistemology,epistemology,16
berlin,berlin,16
ukrainian ssr,ukrainian ssr,16
medicine,medicine,16
trade unions,trade unions,16
austria,austria,16
vygotsky,vygotsky,16
metaphor,metaphor,16
land reform,land reform,16
russian cinema,russian cinema,16
peasants,peasants,16
legitimation,legitimation,16
political communication,political communication,15
pilgrimage,pilgrimage,15
novel,novel,15
kyiv,kyiv,15
dissidents,dissidents,15
cultural politics,cultural politics,15
planned economy,planned economy,15
securitization,securitization,15
slovakia,slovakia,15
1960s,1960s,15
economic policy,economic policy,15
liberalization,liberalization,15
russian culture,russian culture,15
hybrid warfare,hybrid warfare,15
labour market,labour market,15
consumerism,consumerism,15
disarmament,disarmament,15
soviet studies,soviet studies,15
statehood,statehood,15
periodization,periodization,15
training,training,15
security policy,security policy,15
class struggle,class struggle,15
soviet regime,soviet regime,15
nikita khrushchev,nikita khrushchev,15
osce,osce,15
the thaw,the thaw,15
cross-border cooperation,cross-border cooperation,15
knowledge production,knowledge production,15
espionage,espionage,15
political regime,political regime,15
soviet past,soviet past,15
religious identity,religious identity,15
cultural capital,cultural capital,15
ethnic cleansing,ethnic cleansing,15
soviet occupation,soviet occupation,15
territorial integrity,territorial integrity,15
transnational history,transnational history,15
regime change,regime change,15
transitional economies,transitional economies,15
transparency,transparency,15
bologna process,bologna process,15
soviet government,soviet government,15
pentecostals,pentecostals,15
evacuation,evacuation,15
outer space,outer space,15
post-soviet societies,post-soviet societies,15
unesco,unesco,15
property,property,15
yakutia,yakutia,15
gas,gas,15
cybernetics,cybernetics,15
religious communities,religious communities,15
russian orthodoxy,russian orthodoxy,15
secularism,secularism,15
post soviet,post soviet,15
displacement,displacement,15
business,business,15
material culture,material culture,15
narratives,narratives,15
orange revolution,orange revolution,15
historical sociology,historical sociology,15
1990s,1990s,15
research capacity,research capacity,15
mass consciousness,mass consciousness,15
biopolitics,biopolitics,14
nature,nature,14
ussr academy of sciences,ussr academy of sciences,14
russian regions,russian regions,14
eurasian union,eurasian union,14
mining,mining,14
collectivism,collectivism,14
alcohol,alcohol,14
corporate social responsibility,corporate social responsibility,14
borderlands,borderlands,14
protests,protests,14
eastern front,eastern front,14
karl marx,karl marx,14
prison,prison,14
humor,humor,14
crisis management,crisis management,14
belonging,belonging,14
human trafficking,human trafficking,14
constitutionalism,constitutionalism,14
russia/former soviet union,russia/former soviet union,14
nonproliferation,nonproliferation,14
stigma,stigma,14
peacekeeping,peacekeeping,14
clientelism,clientelism,14
europeanization,europeanization,14
new cold war,new cold war,14
armed conflict,armed conflict,14
historical narrative,historical narrative,14
veterans,veterans,14
csto,csto,14
soviet system,soviet system,14
teachers,teachers,14
militarization,militarization,14
stereotypes,stereotypes,14
social structure,social structure,14
welfare,welfare,14
rituals,rituals,14
intertextuality,intertextuality,14
capital,capital,14
education reform,education reform,14
1950s,1950s,14
vietnam war,vietnam war,14
uk,uk,14
croatia,croatia,14
regions,regions,14
criminal law,criminal law,14
counterinsurgency,counterinsurgency,14
kinship,kinship,14
russian studies,russian studies,14
warsaw pact,warsaw pact,14
leninism,leninism,14
komsomol,komsomol,14
russian world,russian world,14
former ussr,former ussr,14
traditional culture,traditional culture,14
josip broz tito,josip broz tito,14
investment,investment,14
rusins,rusins,14
survey,survey,14
psychoanalysis,psychoanalysis,14
russian politics,russian politics,14
brezhnev,brezhnev,14
settlement,settlement,14
karelia,karelia,14
developing countries,developing countries,14
social sciences,social sciences,14
literary translation,literary translation,14
elite,elite,14
soviet press,soviet press,14
pedagogy,pedagogy,14
kyrgyz republic,kyrgyz republic,14
fiction,fiction,14
anti-colonialism,anti-colonialism,14
academy of sciences of the ussr,academy of sciences of the ussr,14
political repressions,political repressions,14
league of nations,league of nations,14
bakhtin,bakhtin,14
saudi arabia,saudi arabia,14
gis,gis,14
vladimir lenin,vladimir lenin,14
collapse of the ussr,collapse of the ussr,14
polarization,polarization,14
northern sea route,northern sea route,14
concept,concept,14
research institute,research institute,14
tuvan people's republic,tuvan people's republic,14
kosovo,kosovo,13
kyrgyz,kyrgyz,13
activity,activity,13
southeast asia,southeast asia,13
attitudes,attitudes,13
peace,peace,13
review,review,13
conspiracy theory,conspiracy theory,13
experience,experience,13
brics,brics,13
newspapers,newspapers,13
economic cooperation,economic cooperation,13
collectivisation,collectivisation,13
social cohesion,social cohesion,13
political elites,political elites,13
environmental history,environmental history,13
natural gas,natural gas,13
contemporary art,contemporary art,13
russian nationalism,russian nationalism,13
soviet sociology,soviet sociology,13
western europe,western europe,13
participation,participation,13
russian diaspora,russian diaspora,13
xenophobia,xenophobia,13
security council,security council,13
nomadism,nomadism,13
critical discourse analysis,critical discourse analysis,13
crimean tatars,crimean tatars,13
structure,structure,13
chinese communist party,chinese communist party,13
customs union,customs union,13
galicia,galicia,13
educational reform,educational reform,13
liberal democracy,liberal democracy,13
nationalities policy,nationalities policy,13
teacher education,teacher education,13
symbol,symbol,13
national socialism,national socialism,13
cpsu,cpsu,13
inclusion,inclusion,13
path dependency,path dependency,13
frontier,frontier,13
moral economy,moral economy,13
roma,roma,13
continuity,continuity,13
politics of history,politics of history,13
international migration,international migration,13
authority,authority,13
bourdieu,bourdieu,13
language ideology,language ideology,13
literacy,literacy,13
cuban missile crisis,cuban missile crisis,13
nuclear disarmament,nuclear disarmament,13
leisure,leisure,13
social control,social control,13
religious education,religious education,13
pluralism,pluralism,13
albania,albania,13
textbook,textbook,13
nuclear,nuclear,13
rural population,rural population,13
energy policy,energy policy,13
russian immigrants,russian immigrants,13
baltic countries,baltic countries,13
alliance,alliance,13
wehrmacht,wehrmacht,13
international organizations,international organizations,13
affect,affect,13
indigenous people,indigenous people,13
argentina,argentina,13
psychology,psychology,13
revisionism,revisionism,13
population dynamics,population dynamics,13
rsfsr,rsfsr,13
creativity,creativity,13
epidemiology,epidemiology,13
political participation,political participation,13
collective farms,collective farms,13
hiv,hiv,13
export,export,13
periodicals,periodicals,13
emancipation,emancipation,13
local self-government,local self-government,13
soviet childhood,soviet childhood,13
digitalization,digitalization,13
history of the ussr,history of the ussr,13
children’s literature,children’s literature,13
the state,the state,12
arms race,arms race,12
monitoring,monitoring,12
new world order,new world order,12
linguistics,linguistics,12
codification,codification,12
kolkhoz,kolkhoz,12
ukrainians,ukrainians,12
vilnius,vilnius,12
post-socialist city,post-socialist city,12
information,information,12
soviet-afghan war,soviet-afghan war,12
place,place,12
science policy,science policy,12
islam in russia,islam in russia,12
design,design,12
economic transition,economic transition,12
transport,transport,12
libya,libya,12
weapons of mass destruction,weapons of mass destruction,12
liminality,liminality,12
president,president,12
post-soviet transformations,post-soviet transformations,12
post-soviet region,post-soviet region,12
leonid brezhnev,leonid brezhnev,12
socialization,socialization,12
european neighborhood policy,european neighborhood policy,12
germans,germans,12
nationalization,nationalization,12
international politics,international politics,12
international order,international order,12
the second world war,the second world war,12
donbass,donbass,12
chronotope,chronotope,12
altai,altai,12
soviet censorship,soviet censorship,12
catholicism,catholicism,12
mythology,mythology,12
east asia,east asia,12
style,style,12
mentality,mentality,12
social justice,social justice,12
hybridity,hybridity,12
educational policy,educational policy,12
evenki,evenki,12
collective security,collective security,12
political system,political system,12
ritual,ritual,12
rural area,rural area,12
books,books,12
soviet education,soviet education,12
tomsk,tomsk,12
urban development,urban development,12
habitus,habitus,12
toponymy,toponymy,12
u.s. foreign policy,u.s. foreign policy,12
serbia,serbia,12
self-management,self-management,12
army,army,12
neutrality,neutrality,12
arab spring,arab spring,12
collective identity,collective identity,12
post-socialist,post-socialist,12
food,food,12
pussy riot,pussy riot,12
post-communist transition,post-communist transition,12
shanghai cooperation organization,shanghai cooperation organization,12
eurocommunism,eurocommunism,12
iron curtain,iron curtain,12
gender history,gender history,12
unification,unification,12
gender roles,gender roles,12
evolution,evolution,12
chechens,chechens,12
archival documents,archival documents,12
sex,sex,12
xx century,xx century,12
estonian,estonian,12
imagination,imagination,12
water management,water management,12
teaching,teaching,12
consciousness,consciousness,12
remittances,remittances,12
international relations theory,international relations theory,12
structuralism,structuralism,12
armed forces,armed forces,12
social stratification,social stratification,12
ukrainian literature,ukrainian literature,12
council of europe,council of europe,12
great terror,great terror,12
energy resources,energy resources,12
manchuria,manchuria,12
rural areas,rural areas,12
ethiopia,ethiopia,12
soviet art,soviet art,12
database,database,12
image of the enemy,image of the enemy,12
belt and road initiative,belt and road initiative,12
tuvan culture,tuvan culture,12
science diplomacy,science diplomacy,12
imagology,imagology,12
diary,diary,12
hegel,hegel,11
theory,theory,11
quality of life,quality of life,11
framing,framing,11
fundamentalism,fundamentalism,11
perceptions,perceptions,11
annexation,annexation,11
travel writing,travel writing,11
russian jews,russian jews,11
change,change,11
deng xiaoping,deng xiaoping,11
republic of georgia,republic of georgia,11
institution,institution,11
woman,woman,11
memorialization,memorialization,11
world literature,world literature,11
post-cold war,post-cold war,11
salafism,salafism,11
theater,theater,11
nuclear proliferation,nuclear proliferation,11
ontological security,ontological security,11
historical narratives,historical narratives,11
strategic culture,strategic culture,11
carnival,carnival,11
intersectionality,intersectionality,11
the middle east,the middle east,11
water,water,11
stratification,stratification,11
prague spring,prague spring,11
former soviet republics,former soviet republics,11
typology,typology,11
history textbooks,history textbooks,11
conflicts,conflicts,11
state capacity,state capacity,11
the red army,the red army,11
letters,letters,11
library,library,11
theatre,theatre,11
global governance,global governance,11
informal institutions,informal institutions,11
slavery,slavery,11
third reich,third reich,11
stereotype,stereotype,11
value orientations,value orientations,11
soviet modernization,soviet modernization,11
late stalinism,late stalinism,11
partisans,partisans,11
the west,the west,11
construction,construction,11
soviet era,soviet era,11
west,west,11
humanism,humanism,11
political history,political history,11
history of archaeology,history of archaeology,11
physical education,physical education,11
digitization,digitization,11
riga,riga,11
tolerance,tolerance,11
italian communist party,italian communist party,11
language contacts,language contacts,11
academic freedom,academic freedom,11
library of congress,library of congress,11
evaluation,evaluation,11
love,love,11
soviet jewry,soviet jewry,11
